geo_value,time_value,weekly_hosp,weekly_admits_p100K
nd,2020-11-28,315,41.33521944408723
ne,2020-11-28,748,38.668161008432556
nh,2020-11-28,142,10.443395692172823
nj,2020-11-28,2497,28.11243623475742
nm,2020-11-28,826,39.39281648622754
nv,2020-11-28,1042,33.82945539122045
ny,2020-11-28,3935,20.227659090281723
oh,2020-11-28,4639,39.686545585203305
ok,2020-11-28,2398,60.60190989522036
or,2020-11-28,451,10.692937942787802
pa,2020-11-28,4213,32.90894875788442
ri,2020-11-28,209,19.728874293088005
sc,2020-11-28,654,12.702200976787601
sd,2020-11-28,395,44.64997247527013
tn,2020-11-28,1938,28.378248965394647
tx,2020-11-28,7753,26.7382805164637
us,2020-11-28,87383,26.621717945891607
ut,2020-11-28,644,20.087599400865514
va,2020-11-28,1139,13.344238352700053
vt,2020-11-28,26,4.166740118816197
wa,2020-11-28,693,9.100587493481523
wi,2020-11-28,2929,50.305422096669545
wv,2020-11-28,504,28.122693060334893
wy,2020-11-28,242,41.81360462645073
ak,2020-11-29,147,20.094457620515485
al,2020-11-29,1602,32.672640334802786
ar,2020-11-29,953,31.57925431870327
az,2020-11-29,2089,28.70011294572931
ca,2020-11-29,7476,18.920727391116415
co,2020-11-29,1923,33.3927445189361
ct,2020-11-29,835,23.420274440739274
dc,2020-11-29,143,20.262161193285433
de,2020-11-29,255,26.187043267157136
fl,2020-11-29,4162,19.378205441290206
ga,2020-11-29,2741,25.816057248543267
hi,2020-11-29,34,2.4013470144193825
ia,2020-11-29,1120,35.49842000335967
id,2020-11-29,453,25.348826147901725
il,2020-11-29,4082,32.21320755714589
in,2020-11-29,2619,38.90247777144505
ks,2020-11-29,1191,40.881278159511815
ky,2020-11-29,2774,62.09048871750461
la,2020-11-29,1248,26.845672232411246
ma,2020-11-29,921,13.36234456481194
md,2020-11-29,1484,24.54645300445938
me,2020-11-29,100,7.4393027290338125
mi,2020-11-29,3806,38.11008808877508
mn,2020-11-29,1550,27.48406278991253
mo,2020-11-29,2166,35.29165637462468
ms,2020-11-29,916,30.778028922611064
mt,2020-11-29,502,46.969529687175445
nc,2020-11-29,1581,15.074249977402928
nd,2020-11-29,309,40.54788193086652
ne,2020-11-29,726,37.53086215524336
nh,2020-11-29,152,11.178846093030064
nj,2020-11-29,2490,28.033626842028823
nm,2020-11-29,832,39.67896285295558
nv,2020-11-29,1043,33.86192127931183
ny,2020-11-29,3980,20.45897920694314
oh,2020-11-29,4678,40.020189749424674
ok,2020-11-29,2416,61.05680329726955
or,2020-11-29,468,11.095997687859628
pa,2020-11-29,4314,33.69788866401932
ri,2020-11-29,227,21.428011792014242
sc,2020-11-29,687,13.343137723322755
sd,2020-11-29,389,43.97174504526603
tn,2020-11-29,1933,28.3050336687863
tx,2020-11-29,7806,26.921065098866976
us,2020-11-29,88260,26.888900883517305
ut,2020-11-29,634,19.77568015551046
va,2020-11-29,1183,13.859731318037015
vt,2020-11-29,27,4.326999354155282
wa,2020-11-29,695,9.126851815252033
wi,2020-11-29,2866,49.223400385474534
wv,2020-11-29,525,29.294471937848847
wy,2020-11-29,244,42.159171606834626
ak,2020-11-30,148,20.231154611131235
al,2020-11-30,1693,34.52857683322167
ar,2020-11-30,950,31.479844284121832
az,2020-11-30,2141,29.414524565249618
ca,2020-11-30,7697,19.480047984138984
co,2020-11-30,1904,33.062811005748486
ct,2020-11-30,854,23.953190865139327
dc,2020-11-30,149,21.11232180279391
de,2020-11-30,268,27.52206900234554
fl,2020-11-30,4306,20.048667138442006
ga,2020-11-30,2748,25.881986617656658
hi,2020-11-30,35,2.4719748677846582
ia,2020-11-30,1109,35.1497748068981
id,2020-11-30,471,26.356064272983918
il,2020-11-30,4060,32.039593993633595
in,2020-11-30,2656,39.45207367734175
ks,2020-11-30,1205,41.36183054761691
ky,2020-11-30,2751,61.57567933015688
la,2020-11-30,1247,26.824161277096813
ma,2020-11-30,984,14.276381163707871
md,2020-11-30,1481,24.49683079488163
me,2020-11-30,96,7.14173061987246
mi,2020-11-30,3733,37.379127387124896
mn,2020-11-30,1529,27.111698068242752
mo,2020-11-30,2201,35.861927830355
ms,2020-11-30,896,30.10601955748855
mt,2020-11-30,498,46.59527048648082
nc,2020-11-30,1594,15.198200166970441
nd,2020-11-30,307,40.28543609312628
ne,2020-11-30,734,37.94442537458489
nh,2020-11-30,153,11.252391133115786
nj,2020-11-30,2619,29.485971365170073
nm,2020-11-30,850,40.53740195313972
nv,2020-11-30,1056,34.28397782449979
ny,2020-11-30,4009,20.60805217101383
oh,2020-11-30,4793,41.004012284949226
ok,2020-11-30,2358,59.59103566844438
or,2020-11-30,485,11.499057432931451
pa,2020-11-30,4459,34.83052516292585
ri,2020-11-30,236,22.277580541477363
sc,2020-11-30,734,14.255987028994035
sd,2020-11-30,365,41.25883532524962
tn,2020-11-30,1964,28.758968507758038
tx,2020-11-30,7787,26.855538550458252
us,2020-11-30,89209,27.178019022407607
ut,2020-11-30,640,19.96283170272349
va,2020-11-30,1221,14.30492978810076
vt,2020-11-30,29,4.647517824833451
wa,2020-11-30,677,8.890472919317448
wi,2020-11-30,2792,47.95245424851531
wv,2020-11-30,512,28.569085013673543
wy,2020-11-30,243,41.98638811664268
ak,2020-12-01,138,18.86418470497372
al,2020-12-01,1735,35.385162909415
ar,2020-12-01,951,31.51298096231564
az,2020-12-01,2272,31.214292299041166
ca,2020-12-01,7920,20.044430301985287
